module_id,subject,predicate,object,object_kind,datatype,language
site-structure,bldg:Campus_01,a,brick:Campus,qname,,
site-structure,bldg:Campus_01,rdfs:label,Corporate Campus,literal,,
site-structure,bldg:Campus_01,bot:hasBuilding,bldg:Building_A,qname,,
site-structure,bldg:Building_A,a,bot:Building,qname,,
site-structure,bldg:Building_A,a,brick:Building,qname,,
site-structure,bldg:Building_A,rdfs:label,HQ Building A,literal,,
site-structure,bldg:Building_A,bot:hasStorey,bldg:Floor_01,qname,,
site-structure,bldg:Building_A,bot:hasStorey,bldg:Floor_02,qname,,
site-structure,bldg:Floor_01,a,bot:Storey,qname,,
site-structure,bldg:Floor_01,a,brick:Floor,qname,,
site-structure,bldg:Floor_01,rdfs:label,Floor 01,literal,,
site-structure,bldg:Floor_01,bot:hasSpace,bldg:Lobby_101,qname,,
site-structure,bldg:Floor_01,bot:hasSpace,bldg:Office_102,qname,,
site-structure,bldg:Floor_02,a,bot:Storey,qname,,
site-structure,bldg:Floor_02,a,brick:Floor,qname,,
site-structure,bldg:Floor_02,rdfs:label,Floor 02,literal,,
site-structure,bldg:Floor_02,bot:hasSpace,bldg:Conference_201,qname,,
site-structure,bldg:Lobby_101,a,bot:Space,qname,,
site-structure,bldg:Lobby_101,a,brick:Room,qname,,
site-structure,bldg:Lobby_101,rdfs:label,Lobby 101,literal,,
site-structure,bldg:Office_102,a,bot:Space,qname,,
site-structure,bldg:Office_102,a,brick:Office,qname,,
site-structure,bldg:Office_102,rdfs:label,Office 102,literal,,
site-structure,bldg:Conference_201,a,bot:Space,qname,,
site-structure,bldg:Conference_201,a,brick:Conference_Room,qname,,
site-structure,bldg:Conference_201,rdfs:label,Conference Room 201,literal,,
hvac-systems,bldg:AHU_01,a,brick:AHU,qname,,
hvac-systems,bldg:AHU_01,rdfs:label,AHU-01,literal,,
hvac-systems,bldg:AHU_01,brick:feeds,bldg:VAV_01,qname,,
hvac-systems,bldg:AHU_01,brick:feeds,bldg:VAV_02,qname,,
hvac-systems,bldg:VAV_01,a,brick:VAV,qname,,
hvac-systems,bldg:VAV_01,rdfs:label,VAV-01,literal,,
hvac-systems,bldg:VAV_01,brick:hasLocation,bldg:Office_102,qname,,
hvac-systems,bldg:VAV_01,brick:hasPoint,bldg:Office_102_Zone_Temp_Sensor,qname,,
hvac-systems,bldg:VAV_02,a,brick:VAV,qname,,
hvac-systems,bldg:VAV_02,rdfs:label,VAV-02,literal,,
hvac-systems,bldg:VAV_02,brick:hasLocation,bldg:Conference_201,qname,,
hvac-systems,bldg:VAV_02,brick:hasPoint,bldg:Conference_201_Zone_Temp_Sensor,qname,,
hvac-systems,bldg:Office_102_Zone_Temp_Sensor,a,brick:Zone_Air_Temperature_Sensor,qname,,
hvac-systems,bldg:Office_102_Zone_Temp_Sensor,rdfs:label,Office 102 Zone Temp Sensor,literal,,
hvac-systems,bldg:Office_102_Zone_Temp_Sensor,brick:hasLocation,bldg:Office_102,qname,,
hvac-systems,bldg:Conference_201_Zone_Temp_Sensor,a,brick:Zone_Air_Temperature_Sensor,qname,,
hvac-systems,bldg:Conference_201_Zone_Temp_Sensor,rdfs:label,Conference 201 Zone Temp Sensor,literal,,
hvac-systems,bldg:Conference_201_Zone_Temp_Sensor,brick:hasLocation,bldg:Conference_201,qname,,
electrical-systems,bldg:Panel_LP1,a,brick:Electrical_Panel,qname,,
electrical-systems,bldg:Panel_LP1,rdfs:label,Lighting Panel LP-1,literal,,
electrical-systems,bldg:Panel_LP1,brick:hasPoint,bldg:LP1_Energy_Meter,qname,,
electrical-systems,bldg:LP1_Energy_Meter,a,brick:Electric_Energy_Meter,qname,,
electrical-systems,bldg:LP1_Energy_Meter,rdfs:label,LP-1 Energy Meter,literal,,
electrical-systems,bldg:Lighting_Group_Floor_01,a,brick:Lighting_System,qname,,
electrical-systems,bldg:Lighting_Group_Floor_01,rdfs:label,Floor 01 Lighting Group,literal,,
electrical-systems,bldg:Lighting_Group_Floor_01,brick:hasLocation,bldg:Floor_01,qname,,
controls,bldg:BMS_Server_01,a,brick:Server,qname,,
controls,bldg:BMS_Server_01,rdfs:label,BMS Server 01,literal,,
controls,bldg:BMS_Server_01,brick:hasPart,bldg:AHU_Controller_01,qname,,
controls,bldg:AHU_Controller_01,a,brick:Controller,qname,,
controls,bldg:AHU_Controller_01,rdfs:label,AHU Controller 01,literal,,
controls,bldg:AHU_01_Supply_Air_Temperature_Sensor,a,brick:Supply_Air_Temperature_Sensor,qname,,
controls,bldg:AHU_01_Supply_Air_Temperature_Sensor,rdfs:label,AHU-01 Supply Air Temp Sensor,literal,,
controls,bldg:AHU_01,brick:hasPoint,bldg:AHU_01_Supply_Air_Temperature_Sensor,qname,,
